fecha,temp_media_c,temp_max_c,temp_min_c,precipitacion_mm,radiacion_solar_mj_m2,humedad_relativa_pct,evapotranspiracion_mm,precipitacion_chirps_mm
2024-01-01,13.29,20.49,7.27,0.0,19.5,54.32,0.33,0.0
2024-01-02,12.98,19.93,8.22,0.0,17.46,56.86,0.31,0.0
2024-01-03,13.56,22.93,8.15,0.0,19.15,56.07,0.45,2.31
2024-01-04,12.08,20.78,4.84,0.0,18.09,72.06,0.39,0.0
2024-01-05,11.85,20.43,5.58,0.0,16.75,72.63,0.37,0.0
2024-01-06,12.86,22.22,4.4,0.0,19.39,59.39,0.37,0.0
2024-01-07,12.46,19.47,8.43,0.06,6.53,64.4,0.23,3.75
2024-01-08,13.7,22.17,6.69,0.0,16.14,69.85,0.39,0.0
2024-01-09,12.61,20.62,6.85,0.0,13.89,62.36,0.24,0.0
2024-01-10,12.57,21.92,5.3,0.0,18.71,66.6,0.33,0.0
2024-01-11,13.85,23.52,6.61,0.0,18.82,64.88,0.36,0.0
2024-01-12,15.75,25.85,8.25,0.0,18.56,50.46,0.4,0.0
2024-01-13,15.2,24.22,7.78,0.0,18.22,45.79,0.35,0.0
2024-01-14,15.04,21.94,9.49,0.0,13.33,46.68,0.24,0.0
2024-01-15,15.77,25.55,6.59,0.0,20.35,39.34,0.37,0.0
2024-01-16,16.78,26.1,9.38,0.0,20.12,31.77,0.39,0.0
2024-01-17,16.19,22.7,10.75,0.0,17.86,41.41,0.2,0.0
2024-01-18,15.12,22.01,10.47,0.0,16.34,43.0,0.21,0.0
2024-01-19,15.91,24.14,9.91,0.01,12.45,38.73,0.25,0.0
2024-01-20,13.46,18.99,9.04,0.09,10.04,61.22,0.19,0.0
2024-01-21,14.87,20.83,10.81,0.41,16.33,58.77,0.14,0.0
2024-01-22,14.92,21.5,9.38,0.38,14.54,64.93,0.22,0.0
2024-01-23,15.46,23.79,9.47,0.0,19.45,60.17,0.26,0.0
2024-01-24,15.4,23.71,8.62,0.0,20.82,60.81,0.26,0.0
2024-01-25,15.55,24.54,8.44,0.04,20.94,49.12,0.27,0.0
2024-01-26,15.46,24.9,7.6,0.02,21.4,51.5,0.25,0.0
2024-01-27,16.06,25.33,9.29,0.0,21.57,45.37,0.3,0.0
2024-01-28,13.89,23.85,7.89,0.0,16.38,59.21,0.24,0.0
2024-01-29,12.03,19.5,6.85,0.0,12.51,53.06,0.16,0.0
2024-01-30,13.61,20.42,8.88,0.0,9.05,44.73,0.11,0.0
2024-01-31,14.8,20.58,10.76,0.08,15.51,47.83,0.12,0.0
2024-02-01,14.66,21.37,10.11,0.02,11.26,61.47,0.15,0.0
2024-02-02,14.82,23.9,7.96,0.0,20.28,66.56,0.22,0.0
2024-02-03,13.74,22.62,8.22,0.01,22.1,62.05,0.2,0.0
2024-02-04,12.69,22.95,4.45,0.0,23.48,45.09,0.2,0.0
2024-02-05,12.26,23.24,4.14,0.0,23.39,30.44,0.21,0.0
2024-02-06,14.63,27.45,4.03,0.0,22.97,29.33,0.29,0.0
2024-02-07,16.13,27.04,7.89,0.0,21.95,52.18,0.2,0.0
2024-02-08,16.64,27.23,8.56,0.0,22.61,59.47,0.19,0.0
2024-02-09,16.95,27.68,9.22,0.0,23.24,43.97,0.2,0.0
2024-02-10,15.15,26.53,6.35,0.0,23.31,51.58,0.18,0.0
2024-02-11,15.6,25.57,8.04,0.0,22.09,47.57,0.17,0.0
2024-02-12,16.07,25.5,8.07,0.0,17.28,45.63,0.16,0.0
2024-02-13,15.59,24.19,8.06,0.0,17.17,44.05,0.14,0.0
2024-02-14,14.97,22.49,8.35,0.0,12.85,56.94,0.14,4.19
2024-02-15,15.51,22.86,9.8,0.0,14.91,58.6,0.11,8.37
2024-02-16,13.01,19.83,9.01,10.87,13.17,73.68,0.11,0.0
2024-02-17,11.66,18.75,7.15,5.54,12.54,69.06,0.12,0.0
2024-02-18,11.46,21.31,3.49,0.04,24.32,55.5,0.22,0.0
2024-02-19,14.51,25.83,5.48,0.0,24.63,33.76,0.26,0.0
2024-02-20,15.62,27.98,5.38,0.0,24.81,32.85,0.29,0.0
2024-02-21,16.78,28.26,5.39,0.0,25.0,27.31,0.28,0.0
2024-02-22,17.88,28.38,7.86,0.0,24.83,32.78,0.23,0.0
2024-02-23,18.16,28.33,9.33,0.0,24.95,26.54,0.26,0.0
2024-02-24,17.26,28.55,7.07,0.0,23.51,49.06,0.22,0.0
2024-02-25,18.89,29.56,10.86,0.0,23.91,37.48,0.24,0.0
2024-02-26,19.03,30.25,9.54,0.0,24.86,30.26,0.24,0.0
2024-02-27,19.18,29.14,11.44,0.0,24.25,39.78,0.21,0.0
2024-02-28,19.2,29.54,9.75,0.0,24.73,41.05,0.19,0.0
2024-02-29,17.77,26.86,9.26,0.0,24.14,47.39,0.18,0.0
2024-03-01,18.33,27.8,11.42,0.0,24.97,39.94,0.17,0.0
2024-03-02,17.99,27.47,11.19,0.0,25.22,41.29,0.16,0.0
2024-03-03,17.43,27.65,10.05,0.0,25.59,42.18,0.16,0.0
2024-03-04,17.09,27.72,9.14,0.0,25.56,43.52,0.15,0.0
2024-03-05,17.72,27.09,8.64,0.0,26.45,30.25,0.13,0.0
2024-03-06,17.9,28.62,9.61,0.0,26.1,35.82,0.14,0.0
2024-03-07,18.06,30.06,9.31,0.0,26.75,43.4,0.14,0.0
2024-03-08,18.1,30.07,8.43,0.0,27.04,40.36,0.13,0.0
2024-03-09,19.56,31.06,9.63,0.0,26.86,26.77,0.13,0.0
2024-03-10,18.03,28.58,8.22,0.0,25.46,43.55,0.12,0.0
2024-03-11,18.82,29.03,10.02,0.01,25.55,46.37,0.11,0.0
2024-03-12,18.87,28.63,11.23,0.0,25.51,38.54,0.1,0.0
2024-03-13,18.98,28.27,11.87,0.0,25.79,34.21,0.12,0.0
2024-03-14,18.97,28.73,11.02,0.0,26.2,34.98,0.1,0.0
2024-03-15,19.3,28.26,11.44,0.0,24.64,34.58,0.07,0.0
2024-03-16,20.17,30.24,11.02,0.0,26.39,33.32,0.1,0.0
2024-03-17,19.26,27.11,12.86,0.0,22.83,34.57,0.06,1.36
2024-03-18,20.91,30.61,12.85,0.0,25.74,31.14,0.09,0.0
2024-03-19,20.74,30.1,11.53,0.0,25.45,47.93,0.1,0.0
2024-03-20,21.06,29.58,14.51,0.0,23.55,33.59,0.09,0.0
2024-03-21,19.98,29.79,11.98,0.0,26.94,36.28,0.09,0.0
2024-03-22,19.66,29.62,11.62,0.0,27.83,29.93,0.07,0.0
2024-03-23,19.32,30.04,9.45,0.0,27.68,26.91,0.07,0.0
2024-03-24,17.66,29.48,7.71,0.0,29.15,33.89,0.07,0.0
2024-03-25,16.31,27.95,6.61,0.0,23.46,25.19,0.06,0.0
2024-03-26,17.11,29.0,6.39,0.0,28.87,21.66,0.05,0.0
2024-03-27,18.57,30.19,8.37,0.0,29.67,22.14,0.05,0.0
2024-03-28,17.62,29.31,6.79,0.0,27.29,46.13,0.05,0.0
2024-03-29,18.08,29.33,7.96,0.0,27.81,36.43,0.05,0.0
2024-03-30,19.13,29.64,9.78,0.0,28.62,25.94,0.04,0.0
2024-03-31,19.9,29.89,11.62,0.0,26.27,32.99,0.05,0.0
2024-04-01,19.31,28.7,11.34,0.0,27.04,42.12,0.05,0.0
2024-04-02,19.74,29.95,10.06,0.0,26.69,48.34,0.04,0.0
2024-04-03,20.31,29.53,12.72,0.0,28.14,40.33,0.05,0.0
2024-04-04,17.77,27.45,8.62,0.0,27.94,37.16,0.04,0.0
2024-04-05,18.25,28.02,9.07,0.0,28.64,34.86,0.03,0.0
2024-04-06,18.75,29.32,8.89,0.0,28.78,34.98,0.04,0.0
