fecha,temp_media_c,temp_max_c,temp_min_c,punto_rocio_c,precipitacion_mm,radiacion_solar_mj_m2,humedad_relativa_pct,evapotranspiracion_mm,viento_2m_ms,viento_2m_kmh,gdd_diario
2024-01-01,13.29,20.49,7.27,3.17,0.0,19.5,54.32,0.33,0.75,2.7,3.29
2024-01-02,12.98,19.93,8.22,3.93,0.0,17.46,56.86,0.31,1.46,5.26,2.98
2024-01-03,13.56,22.93,8.15,3.25,0.0,19.15,56.07,0.45,1.24,4.46,3.56
2024-01-04,12.08,20.78,4.84,6.24,0.0,18.09,72.06,0.39,2.09,7.52,2.08
2024-01-05,11.85,20.43,5.58,6.33,0.0,16.75,72.63,0.37,2.25,8.1,1.85
2024-01-06,12.86,22.22,4.4,3.1,0.0,19.39,59.39,0.37,1.67,6.01,2.86
2024-01-07,12.46,19.47,8.43,5.56,0.06,6.53,64.4,0.23,1.52,5.47,2.46
2024-01-08,13.7,22.17,6.69,7.28,0.0,16.14,69.85,0.39,2.28,8.21,3.7
2024-01-09,12.61,20.62,6.85,3.73,0.0,13.89,62.36,0.24,1.2,4.32,2.61
2024-01-10,12.57,21.92,5.3,4.91,0.0,18.71,66.6,0.33,2.08,7.49,2.57
2024-01-11,13.85,23.52,6.61,5.21,0.0,18.82,64.88,0.36,1.79,6.44,3.85
2024-01-12,15.75,25.85,8.25,2.21,0.0,18.56,50.46,0.4,1.0,3.6,5.75
2024-01-13,15.2,24.22,7.78,2.17,0.0,18.22,45.79,0.35,1.57,5.65,5.2
2024-01-14,15.04,21.94,9.49,2.83,0.0,13.33,46.68,0.24,1.08,3.89,5.04
2024-01-15,15.77,25.55,6.59,-0.2,0.0,20.35,39.34,0.37,1.22,4.39,5.77
2024-01-16,16.78,26.1,9.38,-1.7,0.0,20.12,31.77,0.39,1.08,3.89,6.78
2024-01-17,16.19,22.7,10.75,2.18,0.0,17.86,41.41,0.2,0.93,3.35,6.19
2024-01-18,15.12,22.01,10.47,1.81,0.0,16.34,43.0,0.21,1.13,4.07,5.12
2024-01-19,15.91,24.14,9.91,0.51,0.01,12.45,38.73,0.25,1.46,5.26,5.91
2024-01-20,13.46,18.99,9.04,5.69,0.09,10.04,61.22,0.19,0.97,3.49,3.46
2024-01-21,14.87,20.83,10.81,6.39,0.41,16.33,58.77,0.14,0.95,3.42,4.87
2024-01-22,14.92,21.5,9.38,7.7,0.38,14.54,64.93,0.22,1.31,4.72,4.92
2024-01-23,15.46,23.79,9.47,6.69,0.0,19.45,60.17,0.26,1.41,5.08,5.46
2024-01-24,15.4,23.71,8.62,6.57,0.0,20.82,60.81,0.26,1.77,6.37,5.4
2024-01-25,15.55,24.54,8.44,3.28,0.04,20.94,49.12,0.27,1.46,5.26,5.55
2024-01-26,15.46,24.9,7.6,3.83,0.02,21.4,51.5,0.25,1.81,6.52,5.46
2024-01-27,16.06,25.33,9.29,1.73,0.0,21.57,45.37,0.3,0.9,3.24,6.06
2024-01-28,13.89,23.85,7.89,4.06,0.0,16.38,59.21,0.24,1.95,7.02,3.89
2024-01-29,12.03,19.5,6.85,1.7,0.0,12.51,53.06,0.16,1.76,6.34,2.03
2024-01-30,13.61,20.42,8.88,0.96,0.0,9.05,44.73,0.11,0.87,3.13,3.61
2024-01-31,14.8,20.58,10.76,3.41,0.08,15.51,47.83,0.12,1.01,3.64,4.8
2024-02-01,14.66,21.37,10.11,6.76,0.02,11.26,61.47,0.15,1.09,3.92,4.66
2024-02-02,14.82,23.9,7.96,7.3,0.0,20.28,66.56,0.22,1.66,5.98,4.82
2024-02-03,13.74,22.62,8.22,4.58,0.01,22.1,62.05,0.2,2.51,9.04,3.74
2024-02-04,12.69,22.95,4.45,-2.87,0.0,23.48,45.09,0.2,1.7,6.12,2.69
2024-02-05,12.26,23.24,4.14,-6.46,0.0,23.39,30.44,0.21,2.11,7.6,2.26
2024-02-06,14.63,27.45,4.03,-6.27,0.0,22.97,29.33,0.29,0.98,3.53,4.63
2024-02-07,16.13,27.04,7.89,3.37,0.0,21.95,52.18,0.2,1.14,4.1,6.13
2024-02-08,16.64,27.23,8.56,6.47,0.0,22.61,59.47,0.19,1.57,5.65,6.64
2024-02-09,16.95,27.68,9.22,2.03,0.0,23.24,43.97,0.2,1.2,4.32,6.95
2024-02-10,15.15,26.53,6.35,1.98,0.0,23.31,51.58,0.18,1.73,6.23,5.15
2024-02-11,15.6,25.57,8.04,2.85,0.0,22.09,47.57,0.17,2.09,7.52,5.6
2024-02-12,16.07,25.5,8.07,2.2,0.0,17.28,45.63,0.16,1.65,5.94,6.07
2024-02-13,15.59,24.19,8.06,2.45,0.0,17.17,44.05,0.14,1.39,5.0,5.59
2024-02-14,14.97,22.49,8.35,5.8,0.0,12.85,56.94,0.14,1.37,4.93,4.97
2024-02-15,15.51,22.86,9.8,6.63,0.0,14.91,58.6,0.11,1.31,4.72,5.51
2024-02-16,13.01,19.83,9.01,7.96,10.87,13.17,73.68,0.11,1.77,6.37,3.01
2024-02-17,11.66,18.75,7.15,5.39,5.54,12.54,69.06,0.12,1.56,5.62,1.66
2024-02-18,11.46,21.31,3.49,0.58,0.04,24.32,55.5,0.22,1.67,6.01,1.46
2024-02-19,14.51,25.83,5.48,-3.5,0.0,24.63,33.76,0.26,1.26,4.54,4.51
2024-02-20,15.62,27.98,5.38,-4.12,0.0,24.81,32.85,0.29,1.51,5.44,5.62
2024-02-21,16.78,28.26,5.39,-6.46,0.0,25.0,27.31,0.28,0.99,3.56,6.78
2024-02-22,17.88,28.38,7.86,-1.69,0.0,24.83,32.78,0.23,1.29,4.64,7.88
2024-02-23,18.16,28.33,9.33,-4.25,0.0,24.95,26.54,0.26,1.03,3.71,8.16
2024-02-24,17.26,28.55,7.07,3.35,0.0,23.51,49.06,0.22,1.13,4.07,7.26
2024-02-25,18.89,29.56,10.86,1.98,0.0,23.91,37.48,0.24,0.98,3.53,8.89
2024-02-26,19.03,30.25,9.54,-1.98,0.0,24.86,30.26,0.24,1.03,3.71,9.03
2024-02-27,19.18,29.14,11.44,3.35,0.0,24.25,39.78,0.21,1.14,4.1,9.18
2024-02-28,19.2,29.54,9.75,2.38,0.0,24.73,41.05,0.19,1.05,3.78,9.2
2024-02-29,17.77,26.86,9.26,5.24,0.0,24.14,47.39,0.18,1.84,6.62,7.77
2024-03-01,18.33,27.8,11.42,2.84,0.0,24.97,39.94,0.17,1.44,5.18,8.33
2024-03-02,17.99,27.47,11.19,3.05,0.0,25.22,41.29,0.16,1.23,4.43,7.99
2024-03-03,17.43,27.65,10.05,1.95,0.0,25.59,42.18,0.16,1.43,5.15,7.43
2024-03-04,17.09,27.72,9.14,2.4,0.0,25.56,43.52,0.15,1.63,5.87,7.09
2024-03-05,17.72,27.09,8.64,-2.15,0.0,26.45,30.25,0.13,1.21,4.36,7.72
2024-03-06,17.9,28.62,9.61,0.37,0.0,26.1,35.82,0.14,1.4,5.04,7.9
2024-03-07,18.06,30.06,9.31,1.61,0.0,26.75,43.4,0.14,1.92,6.91,8.06
2024-03-08,18.1,30.07,8.43,-0.18,0.0,27.04,40.36,0.13,1.58,5.69,8.1
2024-03-09,19.56,31.06,9.63,-2.84,0.0,26.86,26.77,0.13,1.21,4.36,9.56
2024-03-10,18.03,28.58,8.22,3.15,0.0,25.46,43.55,0.12,1.81,6.52,8.03
2024-03-11,18.82,29.03,10.02,4.8,0.01,25.55,46.37,0.11,1.44,5.18,8.82
2024-03-12,18.87,28.63,11.23,2.44,0.0,25.51,38.54,0.1,1.27,4.57,8.87
2024-03-13,18.98,28.27,11.87,0.91,0.0,25.79,34.21,0.12,1.33,4.79,8.98
2024-03-14,18.97,28.73,11.02,0.98,0.0,26.2,34.98,0.1,1.87,6.73,8.97
2024-03-15,19.3,28.26,11.44,1.12,0.0,24.64,34.58,0.07,1.23,4.43,9.3
2024-03-16,20.17,30.24,11.02,1.58,0.0,26.39,33.32,0.1,1.25,4.5,10.17
2024-03-17,19.26,27.11,12.86,1.16,0.0,22.83,34.57,0.06,1.36,4.9,9.26
2024-03-18,20.91,30.61,12.85,0.5,0.0,25.74,31.14,0.09,1.53,5.51,10.91
2024-03-19,20.74,30.1,11.53,6.25,0.0,25.45,47.93,0.1,1.57,5.65,10.74
2024-03-20,21.06,29.58,14.51,3.09,0.0,23.55,33.59,0.09,1.37,4.93,11.06
2024-03-21,19.98,29.79,11.98,3.12,0.0,26.94,36.28,0.09,2.16,7.78,9.98
2024-03-22,19.66,29.62,11.62,-0.97,0.0,27.83,29.93,0.07,1.69,6.08,9.66
2024-03-23,19.32,30.04,9.45,-2.97,0.0,27.68,26.91,0.07,1.52,5.47,9.32
2024-03-24,17.66,29.48,7.71,-3.57,0.0,29.15,33.89,0.07,2.72,9.79,7.66
2024-03-25,16.31,27.95,6.61,-6.97,0.0,23.46,25.19,0.06,3.09,11.12,6.31
2024-03-26,17.11,29.0,6.39,-8.07,0.0,28.87,21.66,0.05,2.23,8.03,7.11
2024-03-27,18.57,30.19,8.37,-8.17,0.0,29.67,22.14,0.05,1.37,4.93,8.57
2024-03-28,17.62,29.31,6.79,0.83,0.0,27.29,46.13,0.05,1.69,6.08,7.62
2024-03-29,18.08,29.33,7.96,-0.72,0.0,27.81,36.43,0.05,1.79,6.44,8.08
2024-03-30,19.13,29.64,9.78,-3.36,0.0,28.62,25.94,0.04,1.36,4.9,9.13
2024-03-31,19.9,29.89,11.62,0.97,0.0,26.27,32.99,0.05,1.31,4.72,9.9
2024-04-01,19.31,28.7,11.34,4.2,0.0,27.04,42.12,0.05,2.29,8.24,9.31
2024-04-02,19.74,29.95,10.06,6.01,0.0,26.69,48.34,0.04,2.14,7.7,9.74
2024-04-03,20.31,29.53,12.72,4.29,0.0,28.14,40.33,0.05,2.39,8.6,10.31
2024-04-04,17.77,27.45,8.62,0.44,0.0,27.94,37.16,0.04,2.03,7.31,7.77
2024-04-05,18.25,28.02,9.07,0.12,0.0,28.64,34.86,0.03,1.83,6.59,8.25
2024-04-06,18.75,29.32,8.89,0.32,0.0,28.78,34.98,0.04,1.91,6.88,8.75
2024-04-07,20.0,30.07,11.23,0.96,0.0,28.56,32.48,0.03,1.19,4.28,10.0
2024-04-08,19.75,29.76,12.04,-0.29,0.0,28.76,30.15,0.03,2.15,7.74,9.75
2024-04-09,19.02,28.23,9.95,2.05,0.0,28.53,36.37,0.04,2.86,10.3,9.02
2024-04-10,19.18,29.22,9.54,4.24,0.0,28.45,45.54,0.03,1.87,6.73,9.18
2024-04-11,19.28,29.42,9.91,3.55,0.0,27.27,39.91,0.04,1.87,6.73,9.28
2024-04-12,20.24,30.71,10.49,5.2,0.16,25.97,42.77,0.04,1.31,4.72,10.24
2024-04-13,22.05,32.93,13.07,4.87,0.0,27.34,38.31,0.03,1.66,5.98,12.05
2024-04-14,22.42,32.77,13.7,4.81,0.0,27.01,38.0,0.03,1.0,3.6,12.42
2024-04-15,22.33,30.85,14.37,7.47,0.09,23.28,42.46,0.03,1.43,5.15,12.33
2024-04-16,22.97,32.59,14.68,7.58,0.16,26.84,41.43,0.03,1.57,5.65,12.97
2024-04-17,24.07,33.68,15.77,6.39,0.24,27.39,36.51,0.03,1.32,4.75,14.07
2024-04-18,23.34,32.54,15.93,3.13,0.11,26.93,30.33,0.02,1.26,4.54,13.34
2024-04-19,23.16,32.69,14.82,3.42,0.34,26.53,30.82,0.03,1.51,5.44,13.16
2024-04-20,22.55,32.3,13.96,3.15,0.07,27.46,31.46,0.03,1.7,6.12,12.55
2024-04-21,22.67,32.22,14.17,2.46,0.12,27.06,32.31,0.02,1.38,4.97,12.67
2024-04-22,21.64,29.55,13.87,6.97,0.52,25.44,44.13,0.02,1.97,7.09,11.64
2024-04-23,22.25,31.37,13.44,1.65,0.08,24.08,30.19,0.02,1.38,4.97,12.25
2024-04-24,22.81,32.32,13.92,1.44,0.03,25.96,28.48,0.02,1.09,3.92,12.81
2024-04-25,22.36,31.93,13.68,3.22,0.08,25.27,32.78,0.03,1.67,6.01,12.36
2024-04-26,21.02,30.46,12.7,3.31,0.0,20.15,38.21,0.02,1.83,6.59,11.02
2024-04-27,21.8,31.17,13.71,1.76,0.0,28.64,32.83,0.02,2.05,7.38,11.8
2024-04-28,20.84,30.71,11.72,0.06,0.0,29.56,35.15,0.02,1.71,6.16,10.84
2024-04-29,20.44,30.0,12.2,2.81,0.0,28.74,36.43,0.02,1.64,5.9,10.44
2024-04-30,21.63,31.88,12.44,1.35,0.0,28.88,31.29,0.01,1.44,5.18,11.63
2024-05-01,21.1,30.49,13.36,2.94,0.0,28.56,34.84,0.02,2.03,7.31,11.1
2024-05-02,21.88,32.01,12.47,2.88,0.0,26.8,32.33,0.01,2.12,7.63,11.88
2024-05-03,23.08,33.27,14.37,2.11,0.0,28.83,29.48,0.01,1.65,5.94,13.08
2024-05-04,23.41,34.07,13.61,3.58,0.04,27.46,32.82,0.02,1.51,5.44,13.41
2024-05-05,23.83,33.69,14.68,3.94,0.07,27.24,32.99,0.01,1.54,5.54,13.83
2024-05-06,23.21,32.89,14.23,0.78,0.0,26.74,27.52,0.01,1.55,5.58,13.21
2024-05-07,24.04,33.98,14.81,-2.17,0.04,27.18,20.91,0.01,1.45,5.22,14.04
2024-05-08,24.45,33.92,16.86,-3.26,0.0,27.48,16.98,0.01,1.26,4.54,14.45
2024-05-09,25.84,35.8,15.83,0.23,0.01,26.43,21.33,0.01,1.02,3.67,15.84
2024-05-10,26.08,35.45,17.45,4.58,0.0,22.36,29.03,0.01,0.71,2.56,16.08
2024-05-11,24.99,34.73,16.46,4.55,0.67,24.75,30.33,0.01,1.64,5.9,14.99
2024-05-12,23.21,33.57,14.13,-0.47,0.04,27.06,23.92,0.01,2.03,7.31,13.21
2024-05-13,22.82,32.79,14.74,1.34,0.0,24.89,27.75,0.01,1.84,6.62,12.82
2024-05-14,22.6,33.01,12.63,3.49,0.0,27.31,35.17,0.01,1.5,5.4,12.6
2024-05-15,22.54,32.75,13.51,0.65,0.0,28.92,27.67,0.01,2.12,7.63,12.54
2024-05-16,22.59,33.64,12.03,1.84,0.01,29.93,33.71,0.01,1.91,6.88,12.59
2024-05-17,23.34,34.32,12.54,4.35,0.01,28.8,39.31,0.01,1.76,6.34,13.34
2024-05-18,23.99,34.24,12.8,5.5,0.2,28.43,40.45,0.01,1.41,5.08,13.99
2024-05-19,25.04,34.56,16.0,8.22,0.12,26.56,40.96,0.01,1.16,4.18,15.04
2024-05-20,25.54,34.92,17.67,6.83,0.0,24.9,35.39,0.01,1.27,4.57,15.54
2024-05-21,25.54,36.1,16.42,6.33,0.0,28.02,37.82,0.01,1.54,5.54,15.54
2024-05-22,24.99,34.36,16.6,10.02,0.55,25.44,46.85,0.01,1.63,5.87,14.99
2024-05-23,25.14,35.2,15.93,8.84,0.62,27.17,45.08,0.01,1.97,7.09,15.14
2024-05-24,25.7,35.65,16.44,5.07,0.36,27.66,32.43,0.01,1.31,4.72,15.7
2024-05-25,26.08,35.41,18.36,5.89,0.74,27.05,32.22,0.01,1.27,4.57,16.08
2024-05-26,25.14,35.41,16.71,6.29,0.79,26.78,35.2,0.01,2.05,7.38,15.14
2024-05-27,25.47,35.31,16.33,3.74,0.04,27.72,28.2,0.01,1.39,5.0,15.47
2024-05-28,24.47,33.21,15.62,5.58,3.24,21.17,33.5,0.0,1.11,4.0,14.47
2024-05-29,23.43,31.9,16.82,8.43,2.97,19.3,41.46,0.01,1.06,3.82,13.43
2024-05-30,24.18,33.52,15.51,8.19,0.19,27.3,41.76,0.01,0.84,3.02,14.18
2024-05-31,25.06,34.35,16.05,8.34,0.08,27.02,41.21,0.01,0.98,3.53,15.06
2024-06-01,24.89,34.39,15.8,6.53,0.07,25.45,35.92,0.01,1.1,3.96,14.89
2024-06-02,23.23,31.95,15.65,9.24,0.89,24.8,44.77,0.01,1.09,3.92,13.23
2024-06-03,24.37,33.93,16.71,9.5,0.08,25.86,44.18,0.01,1.11,4.0,14.37
2024-06-04,24.5,34.09,16.12,7.24,0.19,26.51,39.01,0.01,1.62,5.83,14.5
2024-06-05,24.82,35.15,14.85,2.69,0.09,28.46,29.91,0.01,1.15,4.14,14.82
2024-06-06,25.07,34.81,16.13,5.23,0.35,25.47,32.99,0.01,1.33,4.79,15.07
2024-06-07,23.52,32.86,15.83,7.07,1.22,24.54,37.87,0.01,0.99,3.56,13.52
2024-06-08,22.34,31.33,15.43,8.92,2.63,20.09,46.5,0.01,1.32,4.75,12.34
2024-06-09,21.27,28.23,16.19,12.02,3.07,21.37,58.15,0.01,1.3,4.68,11.27
2024-06-10,21.36,27.68,14.85,11.65,0.71,22.7,57.56,0.01,1.82,6.55,11.36
2024-06-11,22.71,32.09,14.1,7.2,0.0,26.15,45.15,0.02,2.39,8.6,12.71
2024-06-12,22.39,32.01,12.91,6.69,0.0,26.72,42.98,0.02,2.03,7.31,12.39
2024-06-13,23.03,31.51,14.1,9.08,0.0,26.59,46.61,0.01,1.48,5.33,13.03
2024-06-14,23.37,31.39,16.12,10.35,0.0,21.99,49.89,0.02,1.57,5.65,13.37
2024-06-15,22.75,31.44,14.68,8.46,0.0,25.23,46.84,0.02,2.46,8.86,12.75
2024-06-16,22.21,31.92,12.76,4.67,0.19,28.95,42.31,0.01,2.39,8.6,12.21
2024-06-17,22.27,32.26,12.53,5.64,0.17,28.91,42.92,0.01,1.86,6.7,12.27
2024-06-18,22.63,32.08,14.99,9.88,9.02,26.85,52.74,0.01,1.6,5.76,12.63
2024-06-19,21.71,30.23,15.07,11.74,19.14,25.42,59.57,0.08,2.03,7.31,11.71
2024-06-20,18.69,22.56,16.26,14.68,21.8,10.81,78.79,0.06,1.77,6.37,8.69
2024-06-21,19.11,26.57,13.57,11.42,2.49,16.4,65.45,0.31,4.1,14.76,9.11
2024-06-22,17.53,23.27,11.45,11.75,1.67,16.67,71.05,0.22,1.67,6.01,7.53
2024-06-23,18.76,23.71,14.63,13.68,6.22,15.11,74.48,0.17,1.28,4.61,8.76
2024-06-24,17.46,22.58,13.64,13.79,44.79,9.28,80.85,0.15,0.89,3.2,7.46
2024-06-25,17.82,21.94,14.94,14.19,18.14,9.59,81.06,0.37,0.77,2.77,7.82
2024-06-26,20.11,27.28,14.48,12.38,0.9,13.44,66.72,1.25,0.48,1.73,10.11
2024-06-27,19.63,26.66,13.7,13.33,0.0,18.17,70.63,0.95,0.8,2.88,9.63
2024-06-28,18.82,24.32,15.04,13.6,0.0,16.59,73.95,0.74,1.09,3.92,8.82
2024-06-29,18.37,25.28,13.77,12.58,20.07,17.16,71.83,0.6,1.41,5.08,8.37
2024-06-30,19.09,26.47,13.87,13.57,4.62,19.85,74.11,1.14,2.45,8.82,9.09
2024-07-01,17.73,22.34,14.49,14.25,0.0,8.18,81.24,0.61,2.85,10.26,7.73
2024-07-02,19.11,26.13,14.25,13.65,7.01,16.16,74.12,0.98,1.59,5.72,9.11
2024-07-03,18.87,24.92,14.53,13.76,9.64,19.37,75.48,0.96,0.95,3.42,8.87
2024-07-04,18.98,24.93,14.71,14.42,7.77,22.06,77.64,0.89,0.85,3.06,8.98
2024-07-05,20.04,27.75,13.93,12.99,3.07,24.74,69.45,1.55,1.06,3.82,10.04
2024-07-06,20.18,28.87,12.06,11.44,0.81,22.15,64.44,1.89,0.9,3.24,10.18
2024-07-07,21.68,29.23,14.27,12.75,0.32,24.68,63.01,1.83,0.57,2.05,11.68
2024-07-08,20.93,28.3,15.66,13.68,4.46,20.57,67.97,1.4,0.69,2.48,10.93
2024-07-09,19.36,27.09,14.13,13.53,5.77,19.16,73.17,1.19,1.77,6.37,9.36
2024-07-10,18.17,26.52,11.66,11.56,8.31,11.98,70.87,1.41,1.95,7.02,8.17
