municipio,ndvi,estres_hidrico_ndwi,nitrogeno_ndre
Tingambato,0.6806,0.1846,0.4694
Nuevo Parangaricutiro,0.6559,0.1902,0.4492
Angangueo,0.6336,0.1848,0.4363
Ziracuaretiro,0.6334,0.142,0.4429
Aquila,0.6331,0.0686,0.4405
Coalcoman De Vasquez P.,0.6317,0.0796,0.4317
Aporo,0.6273,0.1302,0.4317
Lazaro Cardenas,0.6228,0.0862,0.4333
Coahuayana,0.6225,0.102,0.4433
Zitacuaro,0.6145,0.1575,0.4233
Hidalgo,0.6109,0.1467,0.4265
Ocampo,0.6043,0.1454,0.4135
Chinicuila,0.6,0.0186,0.4165
Tancitaro,0.5932,0.1662,0.4152
Salvador Escalante,0.5909,0.1329,0.4115
Ario,0.5868,0.1278,0.4126
Patzcuaro,0.5844,0.1111,0.4044
Cheran,0.5752,0.1056,0.3939
Uruapan,0.574,0.093,0.3912
Madero,0.5738,0.0661,0.4019
Tacambaro,0.5716,0.1111,0.4028
Acuitzio,0.5708,0.0913,0.4007
Tuxpan,0.5668,0.0693,0.3927
Juarez,0.5645,0.0731,0.3921
Los Reyes,0.5603,0.0987,0.3854
Tinguindin,0.554,0.0707,0.3836
Erongaricuaro,0.5539,0.0892,0.3847
Nuevo Urecho,0.5465,0.0579,0.3842
Tumbiscatio,0.5463,0.003,0.3713
Querendaro,0.545,0.1109,0.3842
Nahuatzen,0.5447,0.1129,0.3751
Tzitzio,0.5384,0.0081,0.3789
Tarentan,0.519,0.0293,0.3634
Arteaga,0.5151,-0.0343,0.3555
Chilchota,0.512,0.0447,0.3492
Charapan,0.5118,0.0547,0.3486
Senguio,0.51,0.0633,0.3539
Jungapeo,0.5059,0.0128,0.352
Periban,0.5058,0.0565,0.357
Aguililla,0.4938,-0.0246,0.34
Susupuato,0.4879,-0.0146,0.3421
Charo,0.4856,-0.0093,0.3458
Paracho,0.4819,0.037,0.3256
Tlalpujahua,0.4812,0.0543,0.3373
Gabriel Zamora,0.4749,-0.0025,0.3366
Mugica,0.4685,0.0374,0.3267
Zacapu,0.4644,0.0154,0.3288
Indaparapeo,0.4589,0.009,0.331
Cotija,0.4589,0.0011,0.3154
Tocumbo,0.4569,-0.0324,0.3154
Apatzingan,0.453,-0.0326,0.3179
Tangamandapio,0.4512,-0.0141,0.317
Zinapecuaro,0.4401,0.0568,0.2938
Quiroga,0.4359,0.129,0.2767
Tangancicuaro,0.4343,0.0305,0.3082
Paracuaro,0.4319,-0.0307,0.3032
Chucandiro,0.4317,-0.0515,0.3096
Morelia,0.421,-0.0301,0.3002
Tepalcatepec,0.4164,-0.0567,0.2944
Purepero,0.4067,0.0095,0.2898
Coeneo,0.4062,-0.0713,0.2913
Irimbo,0.4029,-0.0711,0.2886
Lagunillas,0.4014,-0.0657,0.2913
Nocupetaro,0.3985,-0.1097,0.2923
Tuzantla,0.3983,-0.1209,0.2862
Alvaro Obregon,0.3945,0.107,0.2453
Huiramba,0.3926,-0.0495,0.2833
Turicato,0.3921,-0.1104,0.2859
Jiquilpan,0.3876,-0.0747,0.277
Tlazazalca,0.3821,-0.0902,0.2725
Panindicuaro,0.381,-0.0876,0.2759
Nicolas Romero,0.3789,-0.1325,0.2791
Santa Ana Maya,0.3752,0.0586,0.2513
Yurecuaro,0.3726,-0.0239,0.2695
Jacona,0.371,-0.0456,0.2665
Vista Hermosa,0.3702,0.014,0.2699
Pajacuaran,0.3672,-0.0528,0.2662
Morelos,0.3666,-0.0478,0.2669
Marcos Castellanos,0.3653,-0.1136,0.2676
Buenavista,0.363,-0.0565,0.2613
Ecuandureo,0.362,-0.0759,0.2631
Caracuaro,0.3599,-0.1539,0.2681
Churintzio,0.3599,-0.081,0.2602
Tanhuato,0.3584,-0.0725,0.2587
Ixtlan,0.3549,-0.0349,0.2534
Huaniqueo,0.3535,-0.0776,0.2537
Maravatio,0.3518,-0.0586,0.2549
Sahuayo,0.3419,-0.1207,0.2483
Zinaparo,0.3386,-0.0879,0.2492
Brisenas De Matamoros,0.336,0.0095,0.2335
La Huacana,0.3359,-0.0989,0.2374
La Piedad,0.3317,-0.0629,0.2403
Villamar,0.3317,-0.1148,0.2387
San Lucas,0.3315,-0.1512,0.2457
Huandacareo,0.3295,0.187,0.2187
Puruandiro,0.3218,-0.1007,0.234
Jimenez,0.3144,-0.0687,0.2232
Zamora,0.3139,-0.04,0.2289
Penjamillo,0.312,-0.1155,0.2292
Copandaro De Galeana,0.3119,0.0856,0.215
Venustiano Carranza,0.3108,0.0218,0.2016
Tarimbaro,0.3092,-0.0962,0.2256
Chavinda,0.3085,-0.0919,0.2253
Huetamo,0.3043,-0.1756,0.2264
Jose Sixto Verduzco,0.3038,-0.0477,0.22
Numaran,0.2824,-0.0455,0.2072
Churumuco,0.2705,-0.1165,0.1874
Contepec,0.2694,-0.0742,0.1852
Angamacutiro,0.2534,-0.0653,0.1758
Tzintzuntzan,0.2479,0.1227,0.1274
Epitacio Huerta,0.2469,-0.1034,0.1736
Cojumatlan De Regules,0.2035,0.098,0.0898
Cuitzeo,0.1979,0.2689,0.0766
