fecha,ndvi,estres_hidrico_ndwi,nitrogeno_ndre,savi
2025-01-03,0.395,-0.0315,0.2907,0.2135
2025-01-03,0.3784,-0.0484,0.2789,0.2075
2025-01-13,0.3569,-0.0413,0.2619,0.1865
2025-01-13,0.3196,-0.0551,0.2366,0.1781
2025-01-15,0.4175,-0.0477,0.2995,0.2262
2025-01-15,0.4229,-0.0518,0.3037,0.2299
2025-01-18,0.3819,-0.0587,0.2784,0.193
2025-01-18,0.3706,-0.083,0.2727,0.1888
2025-01-20,0.3578,-0.0073,0.259,0.222
2025-01-20,0.3529,-0.0064,0.2562,0.2213
2025-01-23,0.3952,-0.0572,0.2894,0.2037
2025-01-23,0.3723,-0.0808,0.2755,0.1935
2025-01-25,0.3393,-0.0256,0.2369,0.1955
2025-01-28,0.3825,-0.0659,0.2692,0.2015
2025-01-28,0.3588,-0.0893,0.2558,0.1907
2025-01-30,0.4131,-0.0461,0.2965,0.2326
2025-01-30,0.409,-0.0492,0.295,0.2316
2025-02-02,0.3371,-0.0451,0.245,0.1753
2025-02-02,0.3235,-0.074,0.2397,0.1712
2025-02-04,0.3564,-0.0425,0.244,0.2019
2025-02-04,0.3801,-0.0526,0.2593,0.2135
2025-02-07,0.3936,-0.0593,0.2743,0.2099
2025-02-07,0.362,-0.0832,0.2554,0.1955
2025-02-09,0.403,-0.0504,0.2886,0.2313
2025-02-09,0.3869,-0.0519,0.2793,0.2257
2025-02-12,0.3367,-0.0807,0.2508,0.1806
2025-02-12,0.349,-0.0507,0.2556,0.1861
2025-02-17,0.1992,-0.0244,0.1409,0.1198
2025-02-17,0.1894,-0.0437,0.141,0.1166
2025-02-22,0.3415,-0.0639,0.2494,0.1788
2025-02-22,0.3295,-0.0874,0.2439,0.1732
2025-02-24,0.4075,-0.0577,0.2765,0.2374
2025-02-24,0.3996,-0.0642,0.2727,0.2343
2025-02-27,0.3752,-0.0748,0.2638,0.2033
2025-02-27,0.3472,-0.1016,0.2469,0.1891
2025-03-01,0.3907,-0.0595,0.2785,0.2308
2025-03-01,0.382,-0.0646,0.2741,0.2267
2025-03-04,0.3423,-0.0923,0.2515,0.1894
2025-03-04,0.367,-0.067,0.2684,0.2018
2025-03-06,0.3665,-0.074,0.2516,0.2227
2025-03-06,0.373,-0.0681,0.255,0.2253
2025-03-09,0.3593,-0.0761,0.251,0.2005
2025-03-09,0.3312,-0.1018,0.2347,0.1858
2025-03-11,0.3762,-0.0535,0.2658,0.2317
2025-03-11,0.3687,-0.0601,0.2618,0.2283
2025-03-14,0.3567,-0.0657,0.2577,0.2023
2025-03-14,0.3327,-0.091,0.242,0.1897
2025-03-16,0.3685,-0.0554,0.2471,0.2315
2025-03-16,0.3614,-0.0626,0.2438,0.2284
2025-03-18,0.3295,-0.0724,0.2353,0.2062
2025-03-18,0.3264,-0.0794,0.2342,0.2048
2025-03-19,0.283,-0.0513,0.2027,0.173
2025-03-19,0.3114,-0.0262,0.2191,0.1896
2025-03-21,0.2066,-0.0131,0.1592,0.1358
2025-03-21,0.276,-0.0287,0.2042,0.1834
2025-03-24,0.3419,-0.0779,0.2493,0.1976
2025-03-24,0.323,-0.102,0.2371,0.1877
2025-03-26,0.3499,-0.0756,0.239,0.2239
2025-03-26,0.3425,-0.0831,0.2352,0.2205
2025-03-29,0.3391,-0.0751,0.2352,0.2005
2025-03-29,0.3198,-0.0999,0.224,0.1899
2025-03-31,0.324,-0.0532,0.231,0.2125
2025-04-03,0.3325,-0.0734,0.2399,0.1983
2025-04-03,0.3037,-0.0958,0.222,0.182
2025-04-05,0.34,-0.058,0.2259,0.2252
2025-04-05,0.3302,-0.0656,0.2218,0.2202
2025-04-07,0.3274,-0.0702,0.2311,0.2175
2025-04-07,0.3389,-0.0612,0.2366,0.2238
2025-04-08,0.3284,-0.0779,0.2278,0.198
2025-04-08,0.3075,-0.1014,0.2155,0.1865
2025-04-10,0.3394,-0.059,0.2373,0.2269
2025-04-10,0.3292,-0.0661,0.2318,0.2213
2025-04-10,0.3303,-0.0709,0.2371,0.1993
2025-04-10,0.3059,-0.0942,0.2214,0.1858
2025-04-13,0.3275,-0.0707,0.2347,0.1991
2025-04-13,0.3021,-0.0923,0.2183,0.1849
2025-04-15,0.3409,-0.0595,0.2259,0.2327
2025-04-15,0.3245,-0.0675,0.2179,0.2224
2025-04-18,0.2024,-0.0025,0.1454,0.1349
2025-04-18,0.2304,0.0022,0.1615,0.1511
2025-04-20,0.3147,-0.0794,0.2226,0.2157
2025-04-20,0.3244,-0.0736,0.2276,0.2208
2025-04-23,0.3073,-0.0848,0.2246,0.1887
2025-04-23,0.2848,-0.1052,0.21,0.1756
2025-04-25,0.1825,0.0623,0.1204,0.137
2025-04-27,0.3083,-0.0827,0.2197,0.2087
2025-04-27,0.3023,-0.0871,0.2173,0.2061
2025-04-30,0.3145,-0.0845,0.2241,0.2138
2025-04-30,0.3039,-0.0889,0.2191,0.2081
2025-04-30,0.285,-0.0862,0.2104,0.1734
2025-04-30,0.2579,-0.1099,0.1959,0.1593
2025-05-03,0.2824,-0.0819,0.2124,0.1768
2025-05-03,0.261,-0.1024,0.1988,0.164
2025-05-05,0.3006,-0.0729,0.2049,0.2107
2025-05-05,0.3063,-0.0697,0.207,0.2126
2025-05-08,0.2862,-0.099,0.2072,0.1782
2025-05-08,0.2626,-0.1156,0.194,0.1653
2025-05-13,0.2303,-0.038,0.1646,0.1353
2025-05-13,0.2329,-0.084,0.1767,0.1446
2025-05-15,0.3352,-0.0848,0.2282,0.228
2025-05-15,0.3205,-0.089,0.2214,0.2187
2025-05-17,0.3065,-0.0949,0.2231,0.206
2025-05-17,0.2948,-0.0981,0.2175,0.1991
2025-05-18,0.248,-0.0791,0.1884,0.1541
2025-05-18,0.2143,-0.1009,0.1674,0.1365
2025-05-20,0.2619,-0.119,0.2038,0.1617
2025-05-20,0.2982,-0.1005,0.226,0.1832
2025-05-20,0.3049,-0.0947,0.2225,0.2047
2025-05-20,0.3163,-0.0949,0.23,0.211
2025-05-23,0.279,-0.1014,0.2126,0.1753
2025-06-06,0.3967,-0.0445,0.2761,0.2538
2025-06-07,0.3379,-0.0407,0.2331,0.204
2025-06-09,0.3058,-0.0038,0.2113,0.2082
2025-06-09,0.3023,0.015,0.2181,0.191
2025-06-12,0.3749,0.0476,0.268,0.2298
2025-06-27,0.5607,0.1328,0.3592,0.3284
2025-07-04,0.4214,0.1452,0.2638,0.2919
2025-07-07,0.5451,0.1676,0.3487,0.3359
2025-07-14,0.3504,0.1534,0.2153,0.2372
2025-07-19,0.6777,0.1913,0.4534,0.4405
2025-07-19,0.677,0.1975,0.4627,0.4057
2025-07-22,0.5654,0.2011,0.3935,0.3635
2025-07-24,0.4831,0.1485,0.3074,0.3419
2025-07-29,0.6624,0.1831,0.4491,0.4418
2025-07-29,0.6609,0.1768,0.4497,0.4441
2025-08-03,0.5969,0.1867,0.3688,0.4108
2025-08-03,0.5418,0.1741,0.3375,0.3776
2025-08-05,0.676,0.1816,0.4519,0.452
2025-08-05,0.661,0.1717,0.4471,0.4443
2025-08-11,0.5584,0.2081,0.3886,0.3454
2025-08-11,0.5753,0.2014,0.4046,0.3568
2025-08-13,0.5181,0.1618,0.3352,0.3643
2025-08-18,0.5846,0.1745,0.4071,0.4021
2025-08-21,0.5575,0.1974,0.3961,0.3493
2025-08-26,0.6817,0.2163,0.4369,0.4049
2025-08-26,0.6895,0.2285,0.4431,0.4074
2025-08-28,0.515,0.1987,0.3499,0.3328
2025-08-28,0.6045,0.1993,0.4115,0.3917
2025-08-31,0.5675,0.2031,0.397,0.338
2025-09-05,0.5681,0.1873,0.3675,0.3394
2025-09-10,0.4573,0.208,0.3172,0.2665
2025-09-14,0.6639,0.1861,0.4401,0.4127
2025-09-14,0.6569,0.18,0.4362,0.4078
2025-09-20,0.6231,0.1741,0.4334,0.3579
2025-09-20,0.6086,0.1594,0.4247,0.3514
